fold,iso,a,b,c,lat,lng,training_count
0,GB,46,63,90,52.28852950958979,0.45831798410623575,37
0,GB,46,63,107,51.19165885678137,0.18788533231332766,15
0,GB,46,69,101,51.879419332012944,-1.5218925012756461,41
0,GB,46,69,107,51.0687836280685,-0.8981500631517896,10
0,GB,47,61,97,56.51367778513259,-3.4452938133255504,3
0,GB,47,61,104,57.252587646245026,-3.4056777491523698,50
0,GB,47,62,102,57.563972856468176,-6.051225307332074,40
0,GB,47,66,105,55.899762,-5.128093999999999,1
0,GB,47,66,106,56.53860441472798,-5.310266321127196,61
0,GB,47,68,97,56.381316,-3.8231000000000015,1
0,GB,47,68,105,55.918652,-4.857573000000001,1
0,GB,47,68,106,56.1457185955303,-4.451755586298822,2
0,IS,48,77,108,65.63242875086402,-20.159375908256973,23
0,IS,48,77,122,65.6791446414131,-19.378324556869174,51
0,IS,48,81,108,65.50089138518896,-20.686954158530558,17
0,IS,48,82,112,66.09147748437233,-19.120012794054976,25
0,IS,49,75,111,63.850572639263405,-22.396838262633278,54
0,IS,49,75,123,63.99425937633662,-21.65675773915628,2
0,IS,49,83,123,64.05888382580537,-21.024467186098303,32
0,IS,49,83,124,64.470019,-21.518989,1
0,IS,50,76,114,65.03344461374661,-14.116971372444992,65
0,IS,50,76,119,64.66001446462636,-14.410057300036593,20
0,IS,50,79,113,65.80106731967514,-14.959075196855688,35
0,IS,50,79,114,65.38120768476068,-14.741143382035794,7
0,IS,51,80,116,63.58580960704848,-19.582521461662157,10
0,IS,51,80,120,63.57388744098563,-18.603013847620407,69
0,IS,51,83,116,63.749774521316766,-19.997745527798603,19
0,IS,52,78,109,65.62855713126454,-23.56112807956245,62
0,IS,52,78,117,65.61762253917924,-22.345129775861967,24
0,IS,52,78,118,65.95981246518669,-22.934123398670092,36
0,IS,52,81,117,65.4951268491134,-21.933854743114974,9
0,IS,53,73,115,64.82906828709422,-23.761967067601024,23
0,IS,53,73,124,64.61371565984777,-21.725591770921458,8
0,IS,53,73,125,64.90650758326989,-22.71042268473003,34
0,IS,53,81,117,65.28246342874655,-21.75351753882316,3
0,IS,53,81,124,65.04927819777652,-21.360269074668224,17
0,IS,54,74,110,64.01435797968782,-16.483591674878078,32
0,IS,54,74,119,64.31419729034039,-15.131225058458675,7
0,IS,54,76,119,64.41675517269043,-14.635460632123095,6
0,IS,55,72,121,65.82098170155483,-17.193145532600685,48
0,IS,55,77,122,65.617848,-18.497322,1
0,IS,55,79,113,65.573783,-16.055936,1
0,IS,55,82,112,66.10664634853316,-18.236024879234336,26
0,IS,55,82,122,65.642554,-18.459332000000003,1
0,IT,56,86,134,38.00886074308521,13.065591684149872,32
0,IT,56,86,136,38.01896502002133,14.067950432702549,3
0,IT,56,88,126,36.96464612393272,14.67955859945265,48
0,IT,56,88,136,37.77373284703707,14.860580848604942,44
0,IT,56,93,130,38.283294264440435,16.338010321677586,6
0,IT,57,84,127,44.68799005008765,7.93105314519311,52
0,IT,57,84,132,45.68691393680376,8.985637901588703,15
0,IT,58,92,129,41.737153,13.432405,1
0,IT,58,95,129,41.58343474366706,13.483564892076036,4
0,IT,58,95,135,40.56361806352672,15.372515545362972,2
0,IT,58,95,137,41.223331969867836,14.645528199805012,56
0,IT,59,90,135,40.74487817261754,16.563900444538316,66
0,IT,59,90,142,40.44504887997744,17.831531303111113,44
0,IT,59,93,130,39.11596263146133,16.33464438299872,27
0,IT,59,93,135,40.080867595140894,15.641658164061347,8
0,IT,59,95,135,40.466279,15.539392000000001,1
0,IT,60,85,133,40.926256270929635,9.265143029983864,61
0,IT,60,85,139,40.464972440666074,8.76017654032682,40
0,IT,60,91,131,39.14284670224991,8.814364615879201,42
0,IT,61,84,132,45.82465964406481,9.738791027107967,2
0,IT,61,89,128,46.06756292651732,12.236012552093985,52
0,IT,61,89,132,46.41003081922856,10.379689659940796,6
0,IT,61,89,141,45.31622928525223,11.223341704105032,28
0,IT,61,94,141,44.994426224198016,10.920860896582486,2
0,IT,62,92,143,42.781806425464055,11.13464816472339,2
0,IT,62,94,138,43.74873899699894,10.714690668962023,39
0,IT,62,94,141,44.55072348437644,11.059826975940405,14
0,IT,63,87,140,43.212711855244535,13.533206995255224,43
0,IT,63,92,129,41.9676633152276,12.690914883506027,29
0,IT,63,92,143,42.68252954694164,12.052590057100998,31
0,NO,64,96,145,69.18222106411282,23.816249345446288,44
0,NO,64,96,158,70.08324200000001,22.008806,1
0,NO,64,104,145,69.78958402937164,25.172398230311998,4
0,NO,64,104,150,69.89599948786397,29.304496013647412,18
0,NO,64,104,158,70.63139646669492,24.65538396612514,42
0,NO,65,97,149,59.19410500000001,6.133937,1
0,NO,65,97,157,59.884818305559065,6.035922124985686,65
0,NO,65,99,156,58.55672499642764,8.869640929896244,4
0,NO,65,107,149,58.50101072533175,6.115689655379341,66
0,NO,65,107,156,58.20266484438339,7.882808698174434,18
0,NO,66,97,157,60.758152038557874,5.993039737301386,4
0,NO,66,100,154,62.11912995862048,6.367922044811866,67
0,NO,66,100,155,62.83844192436084,7.686861779180357,19
0,NO,66,101,144,60.956336090634665,7.177070126494222,4
0,NO,66,101,160,61.54134609132412,8.689054554431559,9
0,NO,66,105,155,63.01806634935871,8.560679639597845,2
0,NO,67,98,146,64.188751,11.919523999999997,1
0,NO,67,98,152,64.8323877078691,13.504080544223221,44
0,NO,67,105,146,64.03773723938848,10.498973569140357,14
0,NO,68,103,148,69.5096990261127,18.742204998178085,64
0,NO,68,103,161,68.80123503930682,16.728573335662723,86
0,NO,69,97,144,60.42502603669099,7.250147047316474,2
0,NO,69,99,144,60.127198000000014,8.679535,1
0,NO,69,99,156,58.893457939618834,9.368524315097297,18
0,NO,69,99,159,59.89052582298793,10.202249713774142,36
0,NO,69,101,144,60.584160212178766,8.421377133939396,11
0,NO,69,101,159,60.562675690668264,10.014556156971592,8
0,NO,69,101,160,61.0808003707604,9.135801819538774,11
0,NO,70,98,147,65.84143800000001,14.814617,1
