fold,partition,iso,country_index,local_label,global_label,lat,lng,training_count
3,fine,DE,1,6,26,50.521666216532104,8.845223364521479,37
3,fine,DE,1,7,27,48.620506545525814,13.026817411617458,24
3,fine,DE,1,8,28,52.43452934118919,12.047009107505694,46
3,fine,DE,1,9,29,50.71924545302586,10.866786215758403,46
3,fine,DE,1,10,30,54.24757074315629,9.35922595311781,55
3,fine,DE,1,11,31,49.40065980800345,11.006072902875317,43
3,fine,DE,1,12,32,50.175972310910105,7.154620286416045,51
3,fine,DE,1,13,33,53.17344766324491,10.323894076102455,55
3,fine,DE,1,14,34,51.085608326847485,13.000538009221032,39
3,fine,DE,1,15,35,52.508918618914755,8.066475590785883,37
3,fine,DE,1,16,36,48.01640428116213,11.594344268346932,35
3,fine,DE,1,17,37,49.229897967772324,8.869427436450515,42
3,fine,DE,1,18,38,48.034740001884416,10.080917415144501,40
3,fine,DE,1,19,39,53.87028503538826,12.358908338703255,29
3,a,ES,2,0,16,43.11126087895222,-7.619785063761988,94
3,a,ES,2,1,17,38.63550631757116,-1.0350572478654805,116
3,a,ES,2,2,18,28.56590843386974,-17.39830183672044,31
3,a,ES,2,3,19,28.575943672033045,-14.049380203247766,78
3,a,ES,2,4,20,41.69048573639114,1.156130385930291,102
3,a,ES,2,5,21,41.715211335388965,-3.8505569483950985,130
3,a,ES,2,6,22,39.55939263798409,3.126555599452645,103
3,a,ES,2,7,23,37.65864677181838,-4.38781054038768,146
3,b,ES,2,0,24,41.70549319079872,1.9458663663411049,70
3,b,ES,2,1,25,28.575943672033045,-14.049380203247766,78
3,b,ES,2,2,26,43.17257590806902,-5.0515750464858655,46
3,b,ES,2,3,27,37.13144733543657,-3.6408318257726093,75
3,b,ES,2,4,28,40.77319841598013,-4.755845901547911,51
3,b,ES,2,5,29,39.55939263798409,3.126555599452645,103
3,b,ES,2,6,30,38.722259728349904,-0.7365920804636858,104
3,b,ES,2,7,31,43.063580852031606,-8.10700881146371,75
3,b,ES,2,8,32,37.45372946315534,-6.012499234131124,40
3,b,ES,2,9,33,39.08878977191138,-3.348656282405794,53
3,b,ES,2,10,34,42.020126834178484,-1.9572397158785761,74
3,b,ES,2,11,35,28.56590843386974,-17.39830183672044,31
3,c,ES,2,0,36,41.3158418427544,0.9325170752319897,31
3,c,ES,2,1,37,28.895853476266414,-13.688367305031077,48
3,c,ES,2,2,38,42.85830150432979,-2.7488953252906367,20
3,c,ES,2,3,39,38.04150061248333,-0.9718444961470392,56
3,c,ES,2,4,40,39.55939263798409,3.126555599452645,103
3,c,ES,2,5,41,43.15088262426721,-5.237834181324995,43
3,c,ES,2,6,42,28.56590843386974,-17.39830183672044,31
3,c,ES,2,7,43,37.158895692182384,-3.608616210736634,68
3,c,ES,2,8,44,38.55725978885019,-6.420957912292053,17
3,c,ES,2,9,45,36.84059683840299,-5.651666899719532,30
3,c,ES,2,10,46,39.40858595009132,-0.5582738172532693,51
3,c,ES,2,11,47,43.070428066479465,-8.128284322546289,74
3,c,ES,2,12,48,40.75890732122964,-5.119086611367835,32
3,c,ES,2,13,49,41.44575057539452,-3.22143159117231,39
3,c,ES,2,14,50,39.15828139083756,-3.4091632111698633,55
3,c,ES,2,15,51,28.062102159246013,-14.62247562146708,30
3,c,ES,2,16,52,42.0087813452262,2.7600088335524138,39
3,c,ES,2,17,53,41.94166688810373,-0.8949405750261078,33
3,coarse,ES,2,0,12,38.73270519341957,-0.9591218735160582,120
3,coarse,ES,2,1,13,28.58145770436284,-15.001728776399325,109
3,coarse,ES,2,2,14,37.6922551041869,-4.371505966643753,150
3,coarse,ES,2,3,15,42.92808697869881,-7.064397701707711,124
3,coarse,ES,2,4,16,41.6426807027749,-2.816871551487835,124
3,coarse,ES,2,5,17,40.42911714549676,2.6579689162283486,173
3,fine,ES,2,0,40,39.55939263798409,3.126555599452645,103
3,fine,ES,2,1,41,28.062102159246013,-14.62247562146708,30
3,fine,ES,2,2,42,37.23907435030445,-4.165866652238214,53
3,fine,ES,2,3,43,43.14589542225737,-5.2688537669288795,42
3,fine,ES,2,4,44,39.24315952326209,-3.771203555729471,38
3,fine,ES,2,5,45,28.895853476266414,-13.688367305031077,48
3,fine,ES,2,6,46,41.47374742220511,1.0829822721011166,27
3,fine,ES,2,7,47,38.19695415719941,-0.6762252342947503,62
3,fine,ES,2,8,48,28.56590843386974,-17.39830183672044,31
3,fine,ES,2,9,49,42.88212048529154,-2.804730916974803,21
3,fine,ES,2,10,50,40.75890732122964,-5.119086611367835,32
3,fine,ES,2,11,51,39.92553654787117,-0.3337956652464733,34
3,fine,ES,2,12,52,41.44575057539452,-3.22143159117231,39
3,fine,ES,2,13,53,43.070428066479465,-8.128284322546289,74
3,fine,ES,2,14,54,42.008636803289235,2.7874604918151373,38
3,fine,ES,2,15,55,36.80739382525666,-5.918908077227383,23
3,fine,ES,2,16,56,36.9359549984917,-2.5886106490921663,24
3,fine,ES,2,17,57,41.94166688810373,-0.8949405750261078,33
3,fine,ES,2,18,58,38.55725978885019,-6.420957912292053,17
3,fine,ES,2,19,59,38.87179386582479,-2.211180836977984,31
3,a,FI,3,0,24,61.07480394511895,23.921331531023636,126
3,a,FI,3,1,25,65.39761584426964,25.39909823213776,84
3,a,FI,3,2,26,62.17391286763898,29.119530886486636,108
3,a,FI,3,3,27,67.61477904678826,25.946697364796393,145
3,a,FI,3,4,28,64.29028672366844,28.856191589682734,102
3,a,FI,3,5,29,62.666277685744404,22.63299902239796,96
3,a,FI,3,6,30,66.17399266971537,28.80198677611946,62
3,a,FI,3,7,31,63.19831006972962,26.430998065707247,77
3,b,FI,3,0,36,63.94492228996696,25.855087922289503,74
3,b,FI,3,1,37,61.13289917134376,22.679060741346202,55
3,b,FI,3,2,38,66.15816682850301,28.803323229688406,61
3,b,FI,3,3,39,61.735340761576346,28.21854227565048,65
3,b,FI,3,4,40,62.92287474933323,29.50697126302871,76
3,b,FI,3,5,41,62.7826241514704,22.323749365844954,72
3,b,FI,3,6,42,60.636904819722304,24.902116284846368,45
3,b,FI,3,7,43,67.5559941400997,24.783778047374877,71
3,b,FI,3,8,44,62.054657486379085,24.5537507789934,61
3,b,FI,3,9,45,64.44058185643125,28.829941666290484,87
3,b,FI,3,10,46,65.94543352150534,25.47587491414746,75
3,b,FI,3,11,47,67.95176962843689,27.528236858319293,58
3,c,FI,3,0,54,61.08786821490235,22.640781090517308,51
3,c,FI,3,1,55,65.92336473164292,25.041511823169966,40
3,c,FI,3,2,56,67.43163633105623,27.826805742102614,32
3,c,FI,3,3,57,63.16894857976599,29.480946430121534,51
3,c,FI,3,4,58,66.90538935182087,25.41957502063457,46
3,c,FI,3,5,59,61.9079882487361,24.107517369861593,52
3,c,FI,3,6,60,60.636904819722304,24.902116284846368,45
3,c,FI,3,7,61,64.3188920581609,29.019085416362067,70
3,c,FI,3,8,62,67.89089715953837,24.479962130350433,44
3,c,FI,3,9,63,61.33667429827592,27.84966262905796,30
3,c,FI,3,10,64,62.52306384907714,26.552299756720803,35
3,c,FI,3,11,65,62.791026322607365,22.314374598360292,71
3,c,FI,3,12,66,63.6704110641077,26.316395751042634,45
3,c,FI,3,13,67,68.44911143776042,27.30016787583949,27
3,c,FI,3,14,68,62.1112198148332,29.661443936687043,42
3,c,FI,3,15,69,66.33206255884755,28.898156084815803,44
